Name,Description,Link,City,Zip,Member Count,Topic Category,Topics,Past Events
Unicycle Boston,"Unicycle Boston is a unicycling club formed in August 2024 based in the Boston, Massachusetts area. ",https://www.meetup.com/unicycle-boston,Boston,02108,4,Travel & Outdoor,"Recreational Sports, Exercise, Social, Outdoors, Fun Times, Unicycle","Unicycle Basketball (ID: 302905840, Date: 2024-08-22T18:00-04:00); Unicycle Basketball (ID: 302909965, Date: 2024-08-22T18:00-04:00); General Unicycle Meetup (ID: 302910008, Date: 2024-08-31T13:30-04:00)"
Boston Meditation,Meditation is very good. Nowadays people are becoming aware of the importance of meditation. Many hi,https://www.meetup.com/boston-meditation-meetup-group,Boston,02215,715,Health & Wellbeing,"Meditation, Self Exploration, Self-Empowerment, Spirituality, Energy Healing, Sustainability, Motivation & Success, Community Service, Healthy Eating, People Helping People, Improv, Spiritual Awakening","Happiness to Your Mind (ID: 262493305, Date: 2019-06-22T13:00-04:00); Happiness to Your Mind (ID: 262494448, Date: 2019-06-22T13:00-04:00); Happiness to Your Mind (ID: 262542999, Date: 2019-06-29T13:00-04:00)"
CocoaHeads Boston,CocoaHeads is a group devoted to discussion of Apple Computer's Cocoa and CocoaTouch Frameworks for ,https://www.meetup.com/cocoaheads-boston,Cambridge,02138,315,Technology,"Mac, Software Development, Mobile Technology, Computer Programming, Apple, iOS, iOS Development, iPhone, Objective C, iPad","Monthly Meeting (ID: 251726986, Date: 2018-06-14T19:00-04:00); Monthly Meeting (ID: 251727663, Date: 2018-06-14T19:00-04:00); June 2018 Meeting (ID: 251727685, Date: 2018-06-14T19:00-04:00)"
Boston Gaymers,Boston Gaymers is a social group for LGBTQIA+ gamers in the Greater Boston area to help find and mak,https://www.meetup.com/bostongaymers,Boston,02108,1203,Games,"LGBT, Online Gaming, Roleplaying Games (RPGs), Gaming, Console Gaming, Board Games, Game Night, Card Games, PC Gaming, Tabletop Role Playing and Board Games, Strategy Games, Dungeons & Dragons, Games, Video Games, D20 Gaming","24-Hour Holiday Charity Stream (ID: 289988258, Date: 2022-12-02T19:00-05:00); BG Queer Board Game Night - IN PERSON (ID: 289697828, Date: 2022-12-08T19:00-05:00); Gaymers at A4cade - IN PERSON (ID: 289756277, Date: 2022-12-15T19:00-05:00)"
Ukulele Union of Boston,<p>Kelele Strmming Fn--the only thing missing is U.</p>,https://www.meetup.com/bostonuke,Boston,02118,3179,Music,"Jam Sessions, Playing Music, Ukulele","Ukulele Union of Boston Meetup (ID: 13251442, Date: 2010-04-29T19:30-04:00); Ukulele Union of Boston Meetup (ID: 13254172, Date: 2010-04-29T19:30-04:00); UKULELE UNION OF BOSTON - MEETUP #2 (ID: 13384672, Date: 2010-05-13T19:00-04:00)"
Everyday Spacer Boston,"<p>Everyday Spacer Boston is a Meetup for anyone with even a mild interest in space exploration, ast",https://www.meetup.com/everydayspacer-com2,Boston,02201,1382,Science & Education,"Physics, Technology, Astronomy, Space Exploration, Stargazing, Amateur Astronomy, Space Science, Beginner Astronomy, Astrophysics, Science Fiction, Telescopes, Science, The Planets, Space Flight","Observing the Night Sky (ID: 121737482, Date: 2013-06-22T20:30-04:00); Mission to Mars (ID: 127373362, Date: 2013-07-19T19:00-04:00); Monthly Observatory Night - December (ID: 156314402, Date: 2013-12-19T19:00-05:00)"
Boston Photography Community,"**👋Hey Photographers!**
Welcome Aboard! We are a community of photographers learning how to create p",https://www.meetup.com/boston-photography-community,Boston,02108,921,Hobbies & Passions,"Digital Photography, Photography, Group Photo Shoots, Nature Photography, Location Photography, Photography Classes & Workshops, Studio Photography, Street Photography","Abstract Photography Night- Free Class, Free eBook : Member Abstract Images (ID: 280218736, Date: 2021-08-25T19:00-04:00); Free Online Photography Meetup: Photo Question & Answer+ Best Member Images (ID: 280224714, Date: 2021-08-26T19:00-04:00); Street Photography Composition Meetup - Free Online Photo Event With Examples (ID: 280250618, Date: 2021-08-27T19:00-04:00)"
Boston Figurative Art Center,We are a group dedicated to providing a place for people interested in everything from serious figur,https://www.meetup.com/boston-figurative-art-center,Somerville,02143,5351,Art & Culture,"Musicians, Art, Figure Drawing, Life Drawing, Fine Arts, Painting, Drawing, Illustration, Sketching, Digital Art, Comic Artists, Artists, Writing, Film and Video Production","Figure Drawing at 309 Hancock (ID: 13775918, Date: 2010-06-30T19:00-04:00); Figure Drawing at 309 Hancock (ID: 14009446, Date: 2010-07-28T18:30-04:00); Figure Drawing at 309 Hancock (ID: 14438905, Date: 2010-08-31T18:30-04:00)"
PlayYourCourt Greater Boston Tennis,"<p>At PlayYourCourt, we give you everything you need to play more tennis and improve your game!</p>
",https://www.meetup.com/playyourcourt-greater-boston-tennis,Boston,02108,1153,Sports & Fitness,"Tennis, Outdoor Tennis, Tennis For Beginners, Competitive Tennis, Recreational Tennis Leagues, Tennis For All Levels, Tennis Leagues, Tennis For Adults, Organized Tennis, Indoor Tennis, Tennis Instruction, Pickup Tennis, Tennis Lessons - Private & Group, Tennis Ladder","Fun & easy way to play more tennis - sign up when ready (ID: 250186329, Date: 2018-04-26T19:00-04:00); Fun & easy way to play more tennis - sign up when ready (ID: 250186343, Date: 2018-04-26T19:00-04:00); Fun & easy way to play more tennis - sign up when ready (ID: 250188541, Date: 2018-04-28T19:00-04:00)"
Boston LGBTQ+ Event Postings,"This meetup group was formerly run by Boston Pride. It is now run by the [""Non-Scene"" Friends](http:",https://www.meetup.com/lgbtqevent,Boston,02116,3420,Identity & Language,"LGBTQ, Transgender, Clubbing, Dinner and a Movie, Make New Friends, Social Networking, Gay and Lesbian Friends, Karaoke, Bars & Pubs","The Holiday Event: ugly sweater fundraising party!! (ID: 218680448, Date: 2014-12-17T18:00-05:00); The Holiday Event: ugly sweater fundraising party! (ID: 218820046, Date: 2014-12-17T18:00-05:00); March in the First Night parade! (ID: 219358871, Date: 2014-12-31T18:00-05:00)"
Boston LGBTQ+ Event Postings,"This meetup group was formerly run by Boston Pride. It is now run by the [""Non-Scene"" Friends](http:",https://www.meetup.com/lgbtqevent,Boston,02116,3420,Identity & Language,"LGBTQ, Transgender, Clubbing, Dinner and a Movie, Make New Friends, Social Networking, Gay and Lesbian Friends, Karaoke, Bars & Pubs","The Holiday Event: ugly sweater fundraising party!! (ID: 218680448, Date: 2014-12-17T18:00-05:00); The Holiday Event: ugly sweater fundraising party! (ID: 218820046, Date: 2014-12-17T18:00-05:00); March in the First Night parade! (ID: 219358871, Date: 2014-12-31T18:00-05:00)"
Women Travel Abroad Boston,"**Welcome to WOMEN TRAVEL ABROAD (WTA)!**

We are thrilled that you've discovered our exclusive and ",https://www.meetup.com/women-travel-abroad-boston,Boston,02116,165,Travel & Outdoor,"Travel, Singles, Vacations, International Travel, Travel Companions, Women Who Travel, Women Solo Travel, Singles Who Travel, Single Women Travel, Weekend Adventures, Professional Women, Solo Travelers, Adventure Travel, Soul Travel, Seniors","Join WTA on Zoom! Let's Talk Travel!  (ID: 295333746, Date: 2023-08-12T12:00-04:00); Join WTA Tomorrow on Zoom! Let's Talk Travel! ✈️ (ID: 295530947, Date: 2023-08-19T12:00-04:00); Join WTA Tomorrow on Zoom! Let's Talk Travel! ✈️ (ID: 295680519, Date: 2023-08-26T12:00-04:00)"
Boston Art Enthusiasts,"**If you enjoy contemporary art (""art of today"") or modern art (ending in 1970's) exhibitions and ar",https://www.meetup.com/bostonartenthusiasts,Allston,02134,1058,Art & Culture,"Painting, Drawing, Art Galleries, Art, Museum, Photography, Fine Arts, Painting & Sculpture, Contemporary Art, Art Collecting, Visual Arts, Abstract Art, Art Exhibit, Art Museums","Gardner After Hours (ID: 8739306, Date: 2008-09-18T17:30-04:00); South End Open Studios (ID: 8743808, Date: 2008-09-20T12:00-04:00); Cambridge Artists Cooperative 18th Annual Art-to-Wear Show (ID: 8743669, Date: 2008-09-25T17:30-04:00)"
