OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,ShapeSTArea,ShapeSTLength
1,Wilson Park,City of Boston,,1,Allston-Brighton,0.09718357,10 Wilson Park,Open Space District,"Malls, Squares & Plazas",PWD,BPRD,N,X, ,PWD,,PARK_Maintenance_Region 4,2000,YES,02135,2102093500,0,4233.04745402705,256.730008209591
2,James H. Roberts Playground,City of Boston,A97,3,Allston-Brighton,1.00413568,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Hooker-Sorrento Street Playground; Roberts Playground",BPRD,156,PARK_Maintenance_Region 4,156,YES,02134,2200030000,0,43737.3506159207,852.844111715712
3,Smith Playground,City of Boston,A97/LWCF,3,Allston-Brighton,15.02524742,235 Western Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"William F. Smith Playground; North Brighton Playground",BPRD,284,PARK_Maintenance_Region 4,284,YES,02134,2200542000,1894,654457.50328874,3624.89362059865
4,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04450911,1 Fern Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"James F. Collins Square, Franklin Square",BPRD,115,PARK_Maintenance_Region 4,115,YES,02134,2201194000,0,1938.69471881982,207.320531176146
5,Ringer Playground,City of Boston,A97/LWCF/USH,3,Allston-Brighton,10.26309317,85 Allston Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Stanley A. Ringer Playground,BPRD,259,PARK_Maintenance_Region 4,259,YES,"02134, 02135",2101101000,1916,447031.286328787,3765.82954556535
6,McKinney Playground,City of Boston,A97/USH,3,Allston-Brighton,5.89186071,74 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,193,PARK_Maintenance_Region 4,193,YES,02135,2202540000,1930,256633.133121596,2170.12626806127
7,Hobart Park,City of Boston,A97/LWCF,3,Allston-Brighton,0.80891409,85 Hobart Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,154,PARK_Maintenance_Region 4,154,YES,02135,2202935000,1970,35233.997257559,797.596802189938
8,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39538045,380 Market Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,188,PARK_Cemetery Maintenance Request,188,YES,02135,2202372000,1764,17221.6560427301,536.818225042724
9,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12032328,58 Chestnut Hill Avenue,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,162,PARK_Maintenance_Region 4,162,YES,02135,2102849000,0,5240.93885837909,277.790321557991
10,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96749208, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3000,YES,02135,,0,301910.54058086,2540.06377511232
11,Boyden Park,Commonwealth of Massachusetts,A97,1,Allston-Brighton,0.48183069, ,Institutional District,"Malls, Squares & Plazas",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3001,YES,02467,,0,20987.1808380544,608.710018160196
12,Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.77387518,2060 Commonwealth Avenue,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,110,PARK_Cemetery Maintenance Request,110,YES,02135,"2102444000,2102444001,2102443001",1848,892407.575122875,3972.72543334926
13,Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47315094,380 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"PFC Kevin B. Hardiman Playground; Tar Park",BPRD,143,PARK_Maintenance_Region 4,143,YES,02135,2203801020,1948,64166.3045143565,1064.40425973487
14,Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17184526,30 Rogers Park Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Thomas Galvin Park; Rogers-Galvin Park; Galvin Ball Fields",BPRD,267,PARK_Maintenance_Region 4,267,YES,02135,2205190000,1899,355942.47698515,2579.29301493861
15,Chandler Pond,City of Boston,A97/WPA,3,Allston-Brighton,19.03417426,95 Lake Shore Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Alice E. Gallagher Memorial Park; Gallagher Memorial Park",BPRD,128,PARK_Maintenance_Region 4,128,YES,02135,"2205651000,2205530000,2205550000",0,829074.683374912,4020.12458608452
16,Mullen Square,City of Boston,A97,1,Dorchester,0.22676977,24 Edison Green,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Drohan Square, Edison Green",BPRD,210,PARK_Maintenance_Region 2,210,YES,02125,1301906000,0,9877.43166870826,409.18726857486
17,Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.30419728,611 Columbia Road,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,089,PARK_Cemetery Maintenance Request,89,YES,02125,"0703999000,0703999010",1633,143921.195334117,1827.53413863695
18,Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.77917123,40 Downer Avenue,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,092,PARK_Maintenance_Region 2,92,YES,02125,1301674000,1972,33938.4139488315,936.103468596375
19,Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.37525126,21 Stanley Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Quincy Stanley Play Area; Stanley Street Play Area",BPRD,251,PARK_Maintenance_Region 5,251,YES,02125,1502974000,1955,16344.8681451115,529.790732155528
20,Deer Street Park,City of Boston,A97,3,Dorchester,0.24657505,39 Deer Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,080,PARK_Maintenance_Region 2,80,YES,02125,1502549000,0,10740.0945333253,487.057189564295
21,Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,3.43397589, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3002,YES,02125,,0,149575.529686354,3618.98297514554
22,Coppens Square,City of Boston,A97,1,Dorchester,0.35705028,325 Bowdoin Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Rev. Francis X. Coppens Square; Eaton Square",BPRD,070,PARK_Maintenance_Region 2,70,YES,02122,1502942500,0,15552.0478194533,489.713740696322
23,Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/WPA/Ch91,2,Dorchester,8.04452136, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X, ,,,INFO_Reallocation From Dept,3003,YES,02125,,0,350398.307130074,6687.04686086237
24,McConnell Park,City of Boston,A97/LWCF,3,Dorchester,6.76240432,30 Denny Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Savin Hill Playground,BPRD,191,PARK_Maintenance_Region 2,191,YES,02125,"1302238000,1302237000",1899,294548.782704336,3157.21967907777
25,Boston Common,City of Boston,A97/LWCF/NHL,3,Back Bay/Beacon Hill,45.74095034,139 Tremont St (Visitor Info Center) 1B Charles St (Earl of Sandwich)  38 Beacon St (Frog Pond) 167 Tremont St (Parkman Bandstand) 115 Boylston St (Deer Park),Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,The Common,BPRD,027,PARK_Maintenance_Region 1,27,YES,02108,"0500812001,0500812001,0500812000,0500812001,0500812001",1634,1992352.51316811,6329.29865579846
26,Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.48917439,125 Boylston Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,047,PARK_Cemetery Maintenance Request,47,YES,02108,0500813000,1756,64864.2286405975,1105.08148807444
27,Public Garden,City of Boston,A97/LWCF,3,Back Bay/Beacon Hill,23.50816815,4 Charles Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,246,PARK_Maintenance_Region 1,246,YES,"02108, 02116",0501259000,1823,1023949.00922511,4131.46132620388
28,Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Central Boston,1.85683737,95 Tremont Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,137,PARK_Cemetery Maintenance Request,137,YES,02108,0304676000,1660,80878.5759042712,1160.13387012003
29,Phillips Street Play Area,City of Boston,A97,3,Back Bay/Beacon Hill,0.11527547,21 Phillips Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,237,PARK_Maintenance_Region 1,237,YES,02114,0502198000,1941,5021.09224946208,330.554053070312
30,Myrtle Street Playground,City of Boston,A97/LWCF,3,Back Bay/Beacon Hill,0.16074066,50 Myrtle Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,212,PARK_Maintenance_Region 1,212,YES,02114,0501878000,1949,7001.40881367867,342.298423087372
31,Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.85443363,560 Boylston Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Copley Square,BPRD,069,PARK_Maintenance_Region 1,69,YES,02116,0401089000,0,80774.2306734377,1400.2164114411
32,Clarendon Street Playlot,City of Boston,A97,3,Back Bay/Beacon Hill,0.32391688,260 Clarendon Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Commonwealth Playground,BPRD,058,PARK_Maintenance_Region 1,58,YES,02116,0502921000,1975,14108.8998997288,475.648939304517
33,DeFilippo Playground,City of Boston,A97,3,Central Boston,1.11810624,135 Prince Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Pvt. John DeFilippo Playground; Snow Hill Street Playground; ""The Gassy""",BPRD,081,PARK_Maintenance_Region 1,81,YES,02113,0301936000,1937,48701.7100391229,969.026371976958
34,Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Central Boston,1.9815775,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,071,PARK_Cemetery Maintenance Request,71,YES,02113,0302160000,0,86312.0439901501,1311.85934903662
35,Copp's Hill Terrace,City of Boston,A97/NRHP,1,Central Boston,0.61203713,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,072,PARK_Maintenance_Region 1,72,YES,02113,0301982000,0,26658.6905366789,682.857456517252
36,Foster Street Play Area,City of Boston,A97,3,Central Boston,0.10758423,15 Foster Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Foster Street Playground; Foster Street Park",BPRD,123,PARK_Maintenance_Region 1,123,YES,02113,0302026000,1930,4686.06943458891,298.407257315722
37,Charter Street Park,City of Boston,A97,3,Central Boston,0.23871022,21P Charter Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,052,PARK_Maintenance_Region 1,52,YES,02113,"0302067001,0302068000",1940,10397.5820713776,495.821153734036
38,Paul Revere Mall,City of Boston,A97,1,Central Boston,0.85716454,370 Hanover Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"The Prado;  Webster Avenue Playground",BPRD,231,PARK_Maintenance_Region 1,231,YES,02113,"0302074000,0302150000",1925,37335.7167778042,1239.52013541985
39,Polcari Park,City of Boston,A97,3,Central Boston,0.27894045,45 Prince Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Capt. Louis Polcari Park; Prince Street Playground",BPRD,240,PARK_Maintenance_Region 1,240,YES,02113,0302320000,1897,12149.8797083326,522.716715489303
40,Cutillo Park,City of Boston,A97/LWCF,3,Central Boston,0.28935655,10 Stillman Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Vincent Cutillo Park; Stillman Street Park",BPRD,077,PARK_Maintenance_Region 1,77,YES,02113,0302466000,1917,12603.5685753298,505.561349450689
