Name,Description,Link,City,Zip,Member Count,Topic Category,Topics,Past Events
Unicycle Boston,"Unicycle Boston is a unicycling club formed in August 2024 based in the Boston, Massachusetts area.",https://www.meetup.com/unicycle-boston,Boston,02108,4,Travel & Outdoor,"Recreational Sports, Exercise, Social, Outdoors, Fun Times, Unicycle","Unicycle Basketball(Date: 2024-08-22), Unicycle Basketball(Date: 2024-08-22), General Unicycle Meetup(Date: 2024-08-31)"
Boston Meditation,Meditation is very good. Nowadays people are becoming aware of the importance of meditation. Many hi,https://www.meetup.com/boston-meditation-meetup-group,Boston,02215,715,Health & Wellbeing,"Meditation, Self Exploration, Self-Empowerment, Spirituality, Energy Healing, Sustainability, Motivation & Success, Community Service, Healthy Eating, People Helping People, Improv, Spiritual Awakening","Happiness to Your Mind(Date: 2019-06-22), Happiness to Your Mind(Date: 2019-06-22), Happiness to Your Mind(Date: 2019-06-29)"
CocoaHeads Boston,CocoaHeads is a group devoted to discussion of Apple Computers Cocoa and CocoaTouch Frameworks for,https://www.meetup.com/cocoaheads-boston,Cambridge,02138,315,Technology,"Mac, Software Development, Mobile Technology, Computer Programming, Apple, iOS, iOS Development, iPhone, Objective C, iPad","Monthly Meeting(Date: 2018-06-14), Monthly Meeting(Date: 2018-06-14), June 2018 Meeting(Date: 2018-06-14)"
Boston Gaymers,Boston Gaymers is a social group for LGBTQIA gamers in the Greater Boston area to help find and mak,https://www.meetup.com/bostongaymers,Boston,02108,1203,Games,"LGBT, Online Gaming, Roleplaying Games (RPGs), Gaming, Console Gaming, Board Games, Game Night, Card Games, PC Gaming, Tabletop Role Playing and Board Games, Strategy Games, Dungeons & Dragons, Games, Video Games, D20 Gaming","24-Hour Holiday Charity Stream(Date: 2022-12-02), BG Queer Board Game Night - IN PERSON(Date: 2022-12-08), Gaymers at A4cade - IN PERSON(Date: 2022-12-15)"
Ukulele Union of Boston,Kelele Strmming Fn--the only thing missing is U.,https://www.meetup.com/bostonuke,Boston,02118,3179,Music,"Jam Sessions, Playing Music, Ukulele","Ukulele Union of Boston Meetup(Date: 2010-04-29), Ukulele Union of Boston Meetup(Date: 2010-04-29), UKULELE UNION OF BOSTON - MEETUP 2(Date: 2010-05-13)"
Everyday Spacer Boston,"Everyday Spacer Boston is a Meetup for anyone with even a mild interest in space exploration, ast",https://www.meetup.com/everydayspacer-com2,Boston,02201,1382,Science & Education,"Physics, Technology, Astronomy, Space Exploration, Stargazing, Amateur Astronomy, Space Science, Beginner Astronomy, Astrophysics, Science Fiction, Telescopes, Science, The Planets, Space Flight","Observing the Night Sky(Date: 2013-06-22), Mission to Mars(Date: 2013-07-19), Monthly Observatory Night - December(Date: 2013-12-19)"
Boston Photography Community,"Hey Photographers!
Welcome Aboard! We are a community of photographers learning how to create p",https://www.meetup.com/boston-photography-community,Boston,02108,921,Hobbies & Passions,"Digital Photography, Photography, Group Photo Shoots, Nature Photography, Location Photography, Photography Classes & Workshops, Studio Photography, Street Photography","Abstract Photography Night- Free Class, Free eBook  Member Abstract Images(Date: 2021-08-25), Free Online Photography Meetup Photo Question  Answer Best Member Images(Date: 2021-08-26), Street Photography Composition Meetup - Free Online Photo Event With Examples(Date: 2021-08-27)"
Boston Figurative Art Center,We are a group dedicated to providing a place for people interested in everything from serious figur,https://www.meetup.com/boston-figurative-art-center,Somerville,02143,5351,Art & Culture,"Musicians, Art, Figure Drawing, Life Drawing, Fine Arts, Painting, Drawing, Illustration, Sketching, Digital Art, Comic Artists, Artists, Writing, Film and Video Production","Figure Drawing at 309 Hancock(Date: 2010-06-30), Figure Drawing at 309 Hancock(Date: 2010-07-28), Figure Drawing at 309 Hancock(Date: 2010-08-31)"
PlayYourCourt Greater Boston Tennis,"At PlayYourCourt, we give you everything you need to play more tennis and improve your game!",https://www.meetup.com/playyourcourt-greater-boston-tennis,Boston,02108,1153,Sports & Fitness,"Tennis, Outdoor Tennis, Tennis For Beginners, Competitive Tennis, Recreational Tennis Leagues, Tennis For All Levels, Tennis Leagues, Tennis For Adults, Organized Tennis, Indoor Tennis, Tennis Instruction, Pickup Tennis, Tennis Lessons - Private & Group, Tennis Ladder","Fun  easy way to play more tennis - sign up when ready(Date: 2018-04-26), Fun  easy way to play more tennis - sign up when ready(Date: 2018-04-26), Fun  easy way to play more tennis - sign up when ready(Date: 2018-04-28)"
Boston LGBTQ+ Event Postings,This meetup group was formerly run by Boston Pride. It is now run by the Non-Scene Friendshttp,https://www.meetup.com/lgbtqevent,Boston,02116,3420,Identity & Language,"LGBTQ, Transgender, Clubbing, Dinner and a Movie, Make New Friends, Social Networking, Gay and Lesbian Friends, Karaoke, Bars & Pubs","The Holiday Event ugly sweater fundraising party!!(Date: 2014-12-17), The Holiday Event ugly sweater fundraising party!(Date: 2014-12-17), March in the First Night parade!(Date: 2014-12-31)"
