SITE_NAME,ACRES,TypeLong,ZipCode,ADDRESS
Wilson Park,0.09718357,"Malls, Squares & Plazas",02135,10 Wilson Park
James H. Roberts Playground,1.00413568,"Parks, Playgrounds & Athletic Fields",02134,120 Hooker Str.
Smith Playground,15.02524742,"Parks, Playgrounds & Athletic Fields",02134,235 Western Avenue
Fern Square,0.04450911,"Malls, Squares & Plazas",02134,1 Fern Street
Ringer Playground,10.26309317,"Parks, Playgrounds & Athletic Fields","02134, 02135",85 Allston Street
McKinney Playground,5.89186071,"Parks, Playgrounds & Athletic Fields",02135,74 Faneuil Street
Hobart Park,0.80891409,"Parks, Playgrounds & Athletic Fields",02135,85 Hobart Street
Market Street Burying Ground,0.39538045,Cemeteries & Burying Grounds,02135,380 Market Street
Jackson Square,0.12032328,"Malls, Squares & Plazas",02135,58 Chestnut Hill Avenue
Reilly Playground,6.96749208,"Parks, Playgrounds & Athletic Fields",02135, 
Boyden Park,0.48183069,"Malls, Squares & Plazas",02467, 
Evergreen Cemetery,20.77387518,Cemeteries & Burying Grounds,02135,2060 Commonwealth Avenue
Hardiman Playground,1.47315094,"Parks, Playgrounds & Athletic Fields",02135,380 Faneuil Street
Rogers Park,8.17184526,"Parks, Playgrounds & Athletic Fields",02135,30 Rogers Park Avenue
Chandler Pond,19.03417426,"Parks, Playgrounds & Athletic Fields",02135,95 Lake Shore Road
Mullen Square,0.22676977,"Malls, Squares & Plazas",02125,24 Edison Green
Dorchester North Burying Ground,3.30419728,Cemeteries & Burying Grounds,02125,611 Columbia Road
Downer Avenue Playground,0.77917123,"Parks, Playgrounds & Athletic Fields",02125,40 Downer Avenue
Quincy/Stanley Play Area,0.37525126,"Parks, Playgrounds & Athletic Fields",02125,21 Stanley Street
Deer Street Park,0.24657505,"Parks, Playgrounds & Athletic Fields",02125,39 Deer Street
Savin Hill Beach,3.43397589,"Parkways, Reservations & Beaches",02125, 
Coppens Square,0.35705028,"Malls, Squares & Plazas",02122,325 Bowdoin Street
Old Harbor Park,8.04452136,"Parkways, Reservations & Beaches",02125, 
McConnell Park,6.76240432,"Parks, Playgrounds & Athletic Fields",02125,30 Denny Street
