SITE_NAME,ADDRESS,AREA,TYPE,ZIP_CODE
James H. Roberts Playground,120 Hooker Str.,1.00413568,"Parks, Playgrounds & Athletic Fields",02134
Smith Playground,235 Western Avenue,15.02524742,"Parks, Playgrounds & Athletic Fields",02134
Fern Square,1 Fern Street,0.04450911,"Malls, Squares & Plazas",02134
Ringer Playground,85 Allston Street,10.26309317,"Parks, Playgrounds & Athletic Fields",02134
Copley Square Park,560 Boylston Street,1.85443363,"Malls, Squares & Plazas",02116
Clarendon Street Playlot,260 Clarendon Street,0.32391688,"Parks, Playgrounds & Athletic Fields",02116
Commonwealth Avenue Mall II,"Commonwealth Ave btwn Charlesgate West & Kenmore St, nr Kenmore T Station",0.97100607,"Malls, Squares & Plazas",02215
Hayes Park,158 Warren Avenue,0.27519350,"Parks, Playgrounds & Athletic Fields",02116
Peters Park II,230 Shawmut Avenue,0.50712416,"Parks, Playgrounds & Athletic Fields",02118
Peters Park I,230 Shawmut Avenue,3.32684208,"Parks, Playgrounds & Athletic Fields",02118
Rotch Playground,30 Randolph Street,2.74608007,"Parks, Playgrounds & Athletic Fields",02118
Ringgold Park,10 Ringgold Street,0.44552493,"Parks, Playgrounds & Athletic Fields",02118
Blackstone Square,1535 Washington Street,2.44463878,"Malls, Squares & Plazas",02118
Franklin Square,1530 Washington Street,2.48301375,"Malls, Squares & Plazas",02118
South End South Burying Ground,1620 Washington Street,1.47010128,Cemeteries & Burying Grounds,02118
Worcester Square,1P Worcester Square,0.34378499,"Malls, Squares & Plazas",02118
Carter Playground,709 Columbus Avenue,4.91494835,"Parks, Playgrounds & Athletic Fields",02118
Titus Sparrow Park,75 West Rutland Square,1.79889248,"Parks, Playgrounds & Athletic Fields",02118
Waltham Square,2 Waltham Street,0.11841486,"Malls, Squares & Plazas",02118
Harriet Tubman Square,450 Columbus Avenue,0.14178604,"Malls, Squares & Plazas",02116
Concord Square,1P Concord Square,0.14956232,"Malls, Squares & Plazas",02118
Ramsay Park,1917 Washington Street,5.49386846,"Parks, Playgrounds & Athletic Fields",02118
Commonwealth Avenue Outbound,Address Not Available,5.52825810,"Parkways, Reservations & Beaches",02134
Commonwealth Plaza,Address Not Available,0.15674640,"Malls, Squares & Plazas",02215
Chester Square,544P Massachusetts Avenue,0.89020425,"Malls, Squares & Plazas",02118
Msgr. Reynolds Playground,5 Msgr. Reynolds Way,0.32092654,"Parks, Playgrounds & Athletic Fields",02118
Rutland Square,1P Rutland Square,0.15582059,"Malls, Squares & Plazas",02118
Hiscock Park,168 West Newton Street,0.10575804,"Parks, Playgrounds & Athletic Fields",02118
Ramler Park,130 Peterborough Street,0.50600270,"Parks, Playgrounds & Athletic Fields",02215
Penniman Road Play Area,25 Penniman Road,0.92237908,"Parks, Playgrounds & Athletic Fields",02134
O'Day Playground,"West Newton, San Juan, & Aquadilla Sts.",0.71771528,"Parks, Playgrounds & Athletic Fields",02118
Braddock Park,27P Braddock Park,0.09218721,"Malls, Squares & Plazas",02116
Childe Hassam Park,324 Columbus Avenue,0.06066722,"Malls, Squares & Plazas",02116
Newland Street Park,"97 West Concord;  Playlot Entrance, 90HF Newland Street",0.15341020,"Parks, Playgrounds & Athletic Fields",02118
St Helena's Park,115 Union Park Street,0.17481047,"Parks, Playgrounds & Athletic Fields",02118
Bay Village Garden,32 Melrose Street,0.01815408,"Malls, Squares & Plazas",02116
BPL Courtyard,230 Dartmouth Street,0.18670139,"Malls, Squares & Plazas",02116
Riverway I,440 Park Drive; 300 Park Drive (Sears Parcel),17.18592980,"Parks, Playgrounds & Athletic Fields",02215
Charlesgate II,Charlesgate East nr Boylston St;  Charlesgate West btwn Beacon St and Back St,1.48764482,"Parkways, Reservations & Beaches",02215
Agassiz Road,Agassiz Road,0.60408234,"Parkways, Reservations & Beaches",02215
Boylston Street I,Vicinity of Park Drive and Back Bay Fens,0.61687744,"Parkways, Reservations & Beaches",02215
Park Drive I,Park Drive from Brookline Ave to Boylston Street near Charlesgate,5.09545412,"Parkways, Reservations & Beaches",02215
Park Drive II,Park Drive at Boylston Street & Brookline Ave Intersection,1.38266086,"Parkways, Reservations & Beaches",02215
Fire Alarm House Grounds,59 The Fenway,0.84452826,"Parks, Playgrounds & Athletic Fields",02215
Riverway II,"E side of Riverway parkway, Park Dr to Francis St",2.36332055,"Parkways, Reservations & Beaches",02215
Riverway V,"E side of Riverway parkway, Autumn St to Francis St",0.44906601,"Parkways, Reservations & Beaches",02215
Lincoln Square,2 Columbus Avenue,0.05462822,"Malls, Squares & Plazas",02116
Bradford Street Play Area,18 Bradford Street,0.03665251,"Parks, Playgrounds & Athletic Fields",02118
Statler Park,243 Stuart Street,0.23267260,"Malls, Squares & Plazas",02116
Joslin Park,10 Joslin Place,0.30792907,"Malls, Squares & Plazas",02215
Frieda Garcia Park,95-111 Clarendon Street,0.26781767,"Parks, Playgrounds & Athletic Fields",02116
Raymond V. Mellone Park II,Address Not Available,0.47515600,"Parks, Playgrounds & Athletic Fields",02134
Rena Park,288 - 290 N Harvard Street,2.22405930,"Parks, Playgrounds & Athletic Fields",02134
Raymond V. Mellone Park I,288-308 North Harvard Street,1.08096812,"Parks, Playgrounds & Athletic Fields",02134
Elliot Norton Park,295 Tremont Street,0.94506693,"Parks, Playgrounds & Athletic Fields",02116
Bay Village Neighborhood Park,Address Not Available,0.09401441,"Malls, Squares & Plazas",02116
Charlesgate I,"Btwn Storrow Dr, Mass Pike, Charlesgate East & Charlesgate West",6.59092994,"Parkways, Reservations & Beaches",02215
Charles River Reservation,Address Not Available,171.89644190,"Parkways, Reservations & Beaches",02134
Union Park Street Playground,125 Union Park Street,0.40978067,"Parks, Playgrounds & Athletic Fields",02118
Southwest Corridor Park,Address Not Available,48.47698106,"Parkways, Reservations & Beaches",02118
Union Park,24P Union Park,0.36843561,"Parks, Playgrounds & Athletic Fields",02118
Puerto Rican Veterans Memorial Park,W Dedham St & Washington St,0.13484183,"Malls, Squares & Plazas",02118
Watson Park,15 Taylor Street,0.10689584,"Parks, Playgrounds & Athletic Fields",02118
Union Square Plaza I,Address Not Available,0.31130858,"Malls, Squares & Plazas",02134
Union Square Plaza II,Address Not Available,0.07861874,"Malls, Squares & Plazas",02134
